,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
6413,2012,Fine And Applied Arts,Nondegree,83.0,30.0,53.0,0.0,0.0,0.0,0.0,0.0,1.77
6470,2012,Fine And Applied Arts,Art And Design,39.0,26.0,13.0,28.0,0.0,0.0,1.0,0.0,0.5
6472,2012,Fine And Applied Arts,Dance,54.0,47.0,7.0,36.0,0.0,13.0,3.0,0.0,0.15
6473,2012,Fine And Applied Arts,Graphic Design,76.0,49.0,27.0,51.0,14.0,2.0,6.0,0.0,0.55
6547,2012,Fine And Applied Arts,Nondegree,189.0,96.0,93.0,64.0,13.0,4.0,5.0,0.0,0.97
6475,2012,Fine And Applied Arts,Industrial Design,110.0,55.0,55.0,37.0,30.0,6.0,5.0,0.0,1.0
6494,2012,Fine And Applied Arts,Nondegree,39.0,17.0,22.0,27.0,6.0,2.0,3.0,0.0,1.29
6493,2012,Fine And Applied Arts,Voice,34.0,28.0,6.0,27.0,1.0,3.0,1.0,0.0,0.21
6492,2012,Fine And Applied Arts,Urban Planning,143.0,66.0,77.0,68.0,7.0,9.0,17.0,0.0,1.17
6491,2012,Fine And Applied Arts,Theatre,195.0,105.0,90.0,143.0,4.0,10.0,19.0,1.0,0.86
6488,2012,Fine And Applied Arts,Photography,32.0,20.0,12.0,19.0,3.0,3.0,5.0,0.0,0.6
6487,2012,Fine And Applied Arts,Painting,38.0,26.0,12.0,22.0,4.0,5.0,3.0,0.0,0.46
6485,2012,Fine And Applied Arts,Nondegree,22.0,16.0,6.0,4.0,0.0,1.0,0.0,0.0,0.38
6481,2012,Fine And Applied Arts,Music Education,166.0,89.0,77.0,135.0,14.0,5.0,8.0,0.0,0.87
6479,2012,Fine And Applied Arts,Music,329.0,170.0,158.0,152.0,15.0,6.0,11.0,1.0,0.93
6478,2012,Fine And Applied Arts,Landscape Architecture,113.0,63.0,50.0,54.0,6.0,1.0,3.0,0.0,0.79
6477,2012,Fine And Applied Arts,Jazz Performance,22.0,2.0,20.0,19.0,1.0,2.0,0.0,0.0,10.0
6476,2012,Fine And Applied Arts,Instrumental Music,75.0,40.0,35.0,49.0,12.0,1.0,4.0,1.0,0.88
6235,2011,Fine And Applied Arts,Nondegree,207.0,45.0,162.0,46.0,4.0,1.0,6.0,0.0,3.6
6244,2011,Fine And Applied Arts,Art Education,82.0,64.0,17.0,59.0,3.0,2.0,6.0,0.0,0.27
6243,2011,Fine And Applied Arts,Architecture,219.0,88.0,131.0,121.0,12.0,8.0,22.0,0.0,1.49
6242,2011,Fine And Applied Arts,Architectural Studies,507.0,221.0,286.0,306.0,47.0,10.0,41.0,2.0,1.29
6168,2011,Fine And Applied Arts,Nondegree,87.0,36.0,51.0,57.0,1.0,1.0,2.0,0.0,1.42
6193,2011,Fine And Applied Arts,Nondegree,91.0,34.0,57.0,0.0,0.0,0.0,0.0,0.0,1.68
6247,2011,Fine And Applied Arts,Art And Design,39.0,19.0,20.0,27.0,1.0,0.0,0.0,0.0,1.05
6324,2011,Fine And Applied Arts,Nondegree,176.0,92.0,84.0,59.0,5.0,3.0,3.0,0.0,0.91
6249,2011,Fine And Applied Arts,Dance,69.0,63.0,6.0,47.0,3.0,13.0,6.0,0.0,0.1
6262,2011,Fine And Applied Arts,Nondegree,33.0,19.0,14.0,7.0,1.0,0.0,0.0,0.0,0.74
6271,2011,Fine And Applied Arts,Nondegree,27.0,13.0,14.0,20.0,3.0,1.0,2.0,0.0,1.08
6270,2011,Fine And Applied Arts,Voice,30.0,23.0,7.0,23.0,2.0,3.0,0.0,0.0,0.3
6269,2011,Fine And Applied Arts,Urban Planning,155.0,65.0,90.0,82.0,9.0,11.0,21.0,0.0,1.38
6268,2011,Fine And Applied Arts,Theatre,175.0,97.0,78.0,118.0,5.0,16.0,15.0,1.0,0.8
6265,2011,Fine And Applied Arts,Photography,42.0,31.0,11.0,30.0,3.0,3.0,4.0,0.0,0.35
6264,2011,Fine And Applied Arts,Painting,43.0,32.0,11.0,24.0,5.0,5.0,5.0,0.0,0.34
6261,2011,Fine And Applied Arts,New Media,24.0,16.0,8.0,17.0,4.0,1.0,0.0,0.0,0.5
6258,2011,Fine And Applied Arts,Music Education,189.0,99.0,90.0,162.0,13.0,4.0,7.0,0.0,0.91
6256,2011,Fine And Applied Arts,Music,346.0,177.0,167.0,168.0,14.0,7.0,14.0,1.0,0.94
6255,2011,Fine And Applied Arts,Landscape Architecture,118.0,65.0,53.0,65.0,9.0,2.0,6.0,0.0,0.82
6254,2011,Fine And Applied Arts,Jazz Performance,27.0,4.0,23.0,23.0,1.0,2.0,1.0,0.0,5.75
