,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
4473,2002,Engineering,Civil Engineering,793,167,626,471,37,18,33,1,3.75
4471,2002,Engineering,Aerospace Engineering,428,79,349,306,42,5,18,0,4.42
4487,2002,Engineering,Mechanical Engineering,888,86,802,592,90,14,43,1,9.33
4486,2002,Engineering,Materials Science & Engr,142,36,106,50,10,1,2,0,2.95
4489,2002,Engineering,Theoretical & Applied Mechans,60,6,54,15,1,0,1,0,9
4285,2001,Engineering,Civil Engineering,776,169,607,503,46,14,32,1,3.6
4295,2001,Engineering,Industrial Engineering,115,37,78,57,17,7,6,0,2.11
4293,2001,Engineering,Electrical Engineering,1205,188,1017,518,283,22,33,3,5.41
4287,2001,Engineering,Computer Science,1321,171,1150,653,255,32,29,5,6.73
4286,2001,Engineering,Computer Engineering,847,79,768,436,251,43,50,0,9.73
4283,2001,Engineering,Aerospace Engineering,412,68,344,291,38,6,21,1,5.06
4298,2001,Engineering,Mechanical Engineering,918,86,832,625,96,17,37,1,9.68
4297,2001,Engineering,Materials Science & Engr,135,35,100,48,5,1,4,1,2.86
4300,2001,Engineering,Theoretical & Applied Mechans,50,4,46,12,1,0,1,0,11.5
4109,2000,Engineering,Materials Science & Engr,115,31,84,38,7,0,5,0,2.71
4106,2000,Engineering,Industrial Engineering,125,37,88,72,22,7,7,0,2.38
4104,2000,Engineering,Electrical Engineering,1219,173,1046,576,291,23,44,1,6.05
4098,2000,Engineering,Computer Science,1179,170,1009,598,206,34,30,2,5.94
4097,2000,Engineering,Computer Engineering,806,76,730,451,231,38,46,1,9.61
4096,2000,Engineering,Civil Engineering,781,158,623,540,44,16,31,0,3.95
4093,2000,Engineering,Aerospace Engineering,378,71,307,259,40,8,20,1,4.33
4110,2000,Engineering,Mechanical Engineering,891,100,791,598,103,21,32,1,7.91
4112,2000,Engineering,Theoretical & Applied Mechans,58,6,52,13,2,0,2,0,8.67
3874,1999,Engineering,Computer Science,1161,170,991,588,199,36,26,2,5.83
3914,1999,Engineering,Industrial Engineering,148,41,107,99,22,7,5,0,2.61
3912,1999,Engineering,Electrical Engineering,1282,157,1125,634,311,33,43,1,7.17
3905,1999,Engineering,Computer Engineering,783,79,704,467,200,33,43,1,8.92
3904,1999,Engineering,Civil Engineering,791,175,616,549,44,21,27,0,3.52
3901,1999,Engineering,Aerospace Engineering,343,74,269,236,34,12,15,1,3.64
3917,1999,Engineering,Materials Science & Engr,105,29,76,39,9,0,4,0,2.63
3918,1999,Engineering,Mechanical Engineering,929,116,813,626,128,19,33,1,7.01
3920,1999,Engineering,Theoretical & Applied Mechans,61,8,53,17,2,0,2,0,6.63
3671,1998,Engineering,Computer Science,1067,152,915,562,181,36,27,2,6.02
3699,1998,Engineering,Aerospace Engineering,299,61,238,204,26,11,17,1,3.91
3709,1998,Engineering,Electrical Engineering,1355,157,1198,689,306,35,45,3,7.64
3703,1998,Engineering,Computer Engineering,682,64,618,422,163,25,46,2,9.66
3702,1998,Engineering,Civil Engineering,845,187,658,577,59,21,31,0,3.52
3711,1998,Engineering,Industrial Engineering,158,48,110,103,23,4,8,0,2.3
3714,1998,Engineering,Materials Science & Engr,107,30,77,39,8,0,4,1,2.57
3715,1998,Engineering,Mechanical Engineering,988,129,859,687,123,27,40,2,6.66
3717,1998,Engineering,Theoretical & Applied Mechans,56,9,47,18,2,0,2,0,5.23
3496,1997,Engineering,Computer Science,1048,145,903,558,182,26,29,2,6.23
3495,1997,Engineering,Computer Engineering,591,46,545,377,134,22,40,1,11.85
3494,1997,Engineering,Civil Engineering,918,208,710,636,64,21,42,0,3.42
3491,1997,Engineering,Aerospace Engineering,279,54,225,202,28,8,14,0,4.17
3501,1997,Engineering,Electrical Engineering,1419,177,1242,756,323,43,48,4,7.02
3503,1997,Engineering,Industrial Engineering,170,56,114,115,22,3,7,0,2.04
3509,1997,Engineering,Theoretical & Applied Mechans,44,6,38,19,1,0,1,0,6.34
3506,1997,Engineering,Materials Science & Engr,113,27,86,43,4,0,5,1,3.19
3507,1997,Engineering,Mechanical Engineering,985,142,843,714,124,27,36,2,5.94
3281,1996,Engineering,Civil Engineering,973,201,772,681,80,25,42,1,3.85
3247,1996,Engineering,Computer Science,984,144,840,546,171,23,26,2,5.84
3290,1996,Engineering,Industrial Engineering,156,54,102,103,21,6,6,0,1.89
3288,1996,Engineering,Electrical Engineering,1469,195,1274,812,331,57,48,4,6.54
3282,1996,Engineering,Computer Engineering,574,37,537,363,139,23,34,0,14.52
3276,1996,Engineering,Aerospace Engineering,258,46,212,195,23,8,11,0,4.61
3294,1996,Engineering,Mechanical Engineering,1029,135,894,726,143,35,34,3,6.63
3293,1996,Engineering,Materials Science & Engr,111,21,90,45,7,0,4,1,4.29
3297,1996,Engineering,Theoretical & Applied Mechans,41,6,35,16,1,0,2,0,5.84
3077,1995,Engineering,Aerospace Engineering,286,34,252,223,28,8,9,0,7.42
3089,1995,Engineering,Electrical Engineering,1512,186,1326,842,365,67,42,3,7.13
3095,1995,Engineering,Mechanical Engineering,1030,126,904,735,136,40,34,2,7.18
3094,1995,Engineering,Materials Science & Engr,130,28,102,56,7,0,5,0,3.65
3091,1995,Engineering,Industrial Engineering,151,39,112,102,30,5,3,0,2.88
3084,1995,Engineering,Computer Science,972,123,849,567,158,23,22,1,6.91
3083,1995,Engineering,Computer Engineering,536,36,500,345,124,28,28,0,13.89
3082,1995,Engineering,Civil Engineering,1068,207,861,759,94,26,43,2,4.16
3098,1995,Engineering,Theoretical & Applied Mechans,37,4,33,16,1,1,1,0,8.25
2852,1994,Engineering,Computer Science,971,130,841,556,148,24,25,1,6.47
2896,1994,Engineering,Materials Science & Engr,121,25,96,50,4,0,3,0,3.84
2894,1994,Engineering,Industrial Engineering,155,46,109,97,30,7,3,0,2.37
2892,1994,Engineering,Electrical Engineering,1533,169,1364,869,370,66,52,4,8.08
2886,1994,Engineering,Computer Engineering,430,37,393,268,102,29,22,0,10.63
2885,1994,Engineering,Civil Engineering,1140,201,939,829,100,22,39,2,4.68
2880,1994,Engineering,Aerospace Engineering,320,40,280,246,32,6,13,0,7
2900,1994,Engineering,Theoretical & Applied Mechans,42,4,38,16,1,1,1,0,9.5
2897,1994,Engineering,Mechanical Engineering,1036,111,925,749,146,35,38,3,8.34
2694,1993,Engineering,Electrical Engineering,1509,163,1346,880,360,62,50,1,8.26
2698,1993,Engineering,Mechanical Engineering,1005,97,908,763,114,34,35,3,9.37
2696,1993,Engineering,Industrial Engineering,153,51,102,109,22,11,3,0,2
2683,1993,Engineering,Aerospace Engineering,366,44,322,286,32,9,14,0,7.32
2689,1993,Engineering,Computer Science,886,130,756,508,120,29,17,2,5.82
